[mea_500kV_1]二次侧数据---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.646208,	   70.496518,	   59.294453,	   39.942453,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966190,	   92.708929,	   49.999993,	10080.990745,	-1992.985367,	    0.981013,	    0.000000,	  -40.377978
    0.652875,	   70.496525,	   59.294456,	   56.240230,	    0.000000,	    0.000000,	    0.000000,	   83.258927,	   50.261766,	   95.816631,	   49.999993,	11648.555962,	-2074.124396,	    0.984515,	    0.000000,	   38.870003
    0.659542,	   70.496515,	   59.294448,	   48.051136,	    0.000000,	    0.000000,	    0.000000,	   83.180382,	   54.718038,	   85.922760,	   49.999993,	10794.501886,	-3391.103494,	    0.954030,	    0.000000,	    1.507998
    0.666208,	   70.496518,	   59.294453,	   39.942465,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966185,	   92.708941,	   49.999993,	10080.991736,	-1992.983838,	    0.981013,	    0.000000,	  -40.378000
    0.672875,	   70.496525,	   59.294456,	   56.240237,	    0.000000,	    0.000000,	    0.000000,	   83.258908,	   50.261776,	   95.816623,	   49.999993,	11648.556790,	-2074.126019,	    0.984515,	    0.000000,	   38.869979
    0.679542,	   70.496515,	   59.294448,	   48.051117,	    0.000000,	    0.000000,	    0.000000,	   83.180400,	   54.718033,	   85.922756,	   49.999993,	10794.500067,	-3391.103399,	    0.954030,	    0.000000,	    1.508044
    0.686208,	   70.496518,	   59.294453,	   39.942477,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966179,	   92.708952,	   49.999993,	10080.992728,	-1992.982309,	    0.981013,	    0.000000,	  -40.378022
    0.692875,	   70.496525,	   59.294456,	   56.240244,	    0.000000,	    0.000000,	    0.000000,	   83.258890,	   50.261786,	   95.816616,	   49.999993,	11648.557619,	-2074.127642,	    0.984515,	    0.000000,	   38.869954
    0.699542,	   70.496515,	   59.294448,	   48.051098,	    0.000000,	    0.000000,	    0.000000,	   83.180419,	   54.718029,	   85.922752,	   49.999993,	10794.498247,	-3391.103305,	    0.954030,	    0.000000,	    1.508090
    0.706208,	   70.496518,	   59.294453,	   39.942490,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966173,	   92.708963,	   49.999993,	10080.993719,	-1992.980780,	    0.981013,	    0.000000,	  -40.378044
    0.712875,	   70.496525,	   59.294456,	   56.240252,	    0.000000,	    0.000000,	    0.000000,	   83.258872,	   50.261796,	   95.816609,	   49.999993,	11648.558447,	-2074.129265,	    0.984515,	    0.000000,	   38.869930
    0.719542,	   70.496515,	   59.294448,	   48.051079,	    0.000000,	    0.000000,	    0.000000,	   83.180437,	   54.718024,	   85.922748,	   49.999993,	10794.496427,	-3391.103211,	    0.954030,	    0.000000,	    1.508136
    0.726208,	   70.496518,	   59.294453,	   39.942502,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966167,	   92.708974,	   49.999993,	10080.994710,	-1992.979252,	    0.981013,	    0.000000,	  -40.378065
    0.732875,	   70.496525,	   59.294456,	   56.240259,	    0.000000,	    0.000000,	    0.000000,	   83.258854,	   50.261806,	   95.816601,	   49.999993,	11648.559275,	-2074.130888,	    0.984515,	    0.000000,	   38.869906
    0.739542,	   70.496515,	   59.294448,	   48.051060,	    0.000000,	    0.000000,	    0.000000,	   83.180455,	   54.718020,	   85.922744,	   49.999993,	10794.494608,	-3391.103117,	    0.954030,	    0.000000,	    1.508182
    0.746208,	   70.496518,	   59.294453,	   39.942515,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966161,	   92.708986,	   49.999993,	10080.995702,	-1992.977723,	    0.981013,	    0.000000,	  -40.378087
    0.752875,	   70.496525,	   59.294456,	   56.240266,	    0.000000,	    0.000000,	    0.000000,	   83.258836,	   50.261817,	   95.816594,	   49.999993,	11648.560104,	-2074.132511,	    0.984515,	    0.000000,	   38.869881
    0.759542,	   70.496515,	   59.294448,	   48.051041,	    0.000000,	    0.000000,	    0.000000,	   83.180473,	   54.718016,	   85.922740,	   49.999993,	10794.492788,	-3391.103023,	    0.954030,	    0.000000,	    1.508228
    0.766208,	   70.496518,	   59.294453,	   39.942527,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966155,	   92.708997,	   49.999993,	10080.996693,	-1992.976194,	    0.981013,	    0.000000,	  -40.378109
    0.772875,	   70.496525,	   59.294456,	   56.240274,	    0.000000,	    0.000000,	    0.000000,	   83.258818,	   50.261827,	   95.816587,	   49.999993,	11648.560932,	-2074.134134,	    0.984515,	    0.000000,	   38.869857
    0.779542,	   70.496515,	   59.294448,	   48.051022,	    0.000000,	    0.000000,	    0.000000,	   83.180491,	   54.718011,	   85.922736,	   49.999993,	10794.490968,	-3391.102928,	    0.954030,	    0.000000,	    1.508274
    0.786208,	   70.496518,	   59.294453,	   39.942539,	    0.000000,	    0.000000,	    0.000000,	   97.579855,	   45.966149,	   92.709008,	   49.999993,	10080.997685,	-1992.974665,	    0.981013,	    0.000000,	  -40.378130
